# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
150000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 0.000140695 1.57895e-06
39 0.898333 0.00369298 4.52632e-05
40 0.921667 0.0604454 0.000797895
41 0.945 0.401638 0.00605526
42 0.968333 1.38807 0.0251332
43 0.991667 3.19412 0.0711747
44 1.015 5.38707 0.152524
45 1.03833 7.38786 0.269274
46 1.06167 8.88653 0.416091
47 1.085 9.56059 0.581062
48 1.10833 9.70216 0.755754
49 1.13167 9.42571 0.932689
50 1.155 8.89762 1.10667
51 1.17833 8.27314 1.27504
52 1.20167 7.60729 1.43605
53 1.225 6.98703 1.58974
54 1.24833 6.44242 1.73689
55 1.27167 5.91699 1.87714
56 1.295 5.44257 2.01093
57 1.31833 5.07683 2.14026
58 1.34167 4.74047 2.26533
59 1.365 4.46888 2.38738
60 1.38833 4.2095 2.5063
61 1.41167 3.99565 2.62301
62 1.435 3.81894 2.73828
63 1.45833 3.6604 2.85238
64 1.48167 3.51998 2.96565
65 1.505 3.42554 3.07938
66 1.52833 3.34636 3.19394
67 1.55167 3.26968 3.30933
68 1.575 3.20903 3.42601
69 1.59833 3.17207 3.54479
70 1.62167 3.1375 3.66573
71 1.645 3.12452 3.78965
72 1.66833 3.12057 3.91696
73 1.69167 3.12924 4.04822
74 1.715 3.14323 4.18373
75 1.73833 3.17061 4.32416
76 1.76167 3.20662 4.47002
77 1.785 3.26033 4.62228
78 1.80833 3.30495 4.78069
79 1.83167 3.36439 4.94614
80 1.855 3.42943 5.1191
81 1.87833 3.48922 5.29954
82 1.90167 3.54266 5.48732
83 1.925 3.62731 5.68434
84 1.94833 3.67828 5.88899
85 1.97167 3.75246 6.10281
86 1.995 3.81216 6.32519
87 2.01833 3.86861 6.55618
88 2.04167 3.91053 6.79511
89 2.065 3.94287 7.04154
90 2.08833 3.96149 7.29477
91 2.11167 3.96766 7.55409
92 2.135 3.97023 7.81935
93 2.15833 3.94671 8.08883
94 2.18167 3.92029 8.36232
95 2.205 3.87417 8.63841
96 2.22833 3.82151 8.91654
97 2.25167 3.76148 9.19606
98 2.275 3.69743 9.47655
99 2.29833 3.63186 9.75775
100 2.32167 3.5838 10.0409
101 2.345 3.51115 10.3239
102 2.36833 3.46346 10.6086
103 2.39167 3.397 10.8934
104 2.415 3.34745 11.1796
105 2.43833 3.29504 11.4667
106 2.46167 3.25867 11.7562
107 2.485 3.21356 12.047
108 2.50833 3.18224 12.3405
109 2.53167 3.15688 12.6371
110 2.555 3.12861 12.9364
111 2.57833 3.10256 13.2387
112 2.60167 3.08313 13.5446
113 2.625 3.07433 13.8551
114 2.64833 3.06106 14.1698
115 2.67167 3.0514 14.489
116 2.695 3.0483 14.8135
117 2.71833 3.04711 15.1435
118 2.74167 3.04476 15.479
119 2.765 3.04669 15.8204
120 2.78833 3.05137 16.1681
121 2.81167 3.05108 16.5217
122 2.835 3.06212 16.8824
123 2.85833 3.05781 17.2486
124 2.88167 3.07074 17.6223
125 2.905 3.064 18.0013
126 2.92833 3.06988 18.3871
127 2.95167 3.07313 18.7796
128 2.975 3.06286 19.1769
129 2.99833 3.06699 19.581
130 3.02167 3.05428 19.9898
131 3.045 3.05293 20.4047
132 3.06833 3.04181 20.8244
133 3.09167 3.03036 21.249
134 3.115 3.01431 21.6777
135 3.13833 3.00101 22.1109
136 3.16167 2.98814 22.5487
137 3.185 2.96583 22.9897
138 3.20833 2.95298 23.4352
139 3.23167 2.93383 23.8843
140 3.255 2.91306 24.3367
141 3.27833 2.88945 24.7919
142 3.30167 2.87432 25.2511
143 3.325 2.84419 25.712
144 3.34833 2.82487 26.1762
145 3.37167 2.80432 26.6435
146 3.395 2.78248 27.1135
147 3.41833 2.76528 27.5871
148 3.44167 2.74811 28.0642
149 3.465 2.72615 28.544
150 3.48833 2.71003 29.0273
200000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
