# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
50000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 7.03474e-05 1.73684e-05
39 0.898333 0.00328849 0.000873158
40 0.921667 0.0437586 0.01286
41 0.945 0.263487 0.0887379
42 0.968333 0.879125 0.354561
43 0.991667 1.93752 0.968986
44 1.015 3.14196 2.0128
45 1.03833 4.06499 3.42606
46 1.06167 4.43386 5.03762
47 1.085 4.24828 6.65034
48 1.10833 3.67055 8.10432
49 1.13167 2.90218 9.30285
50 1.155 2.13724 10.2222
51 1.17833 1.47687 10.8835
52 1.20167 0.96397 11.3324
53 1.225 0.594584 11.6201
54 1.24833 0.351901 11.7969
55 1.27167 0.204052 11.9033
56 1.295 0.125746 11.9713
57 1.31833 0.0949585 12.0245
58 1.34167 0.101198 12.0833
59 1.365 0.140712 12.1678
60 1.38833 0.211606 12.2993
61 1.41167 0.311785 12.4997
62 1.435 0.436872 12.7898
63 1.45833 0.574736 13.1839
64 1.48167 0.706989 13.6844
65 1.505 0.806897 14.2738
66 1.52833 0.855413 14.9181
67 1.55167 0.839303 15.5697
68 1.575 0.765011 16.1816
69 1.59833 0.648982 16.7163
70 1.62167 0.516539 17.1543
71 1.645 0.397786 17.5014
72 1.66833 0.319904 17.7885
73 1.69167 0.308488 18.0732
74 1.715 0.386162 18.4394
75 1.73833 0.569798 18.9947
76 1.76167 0.866626 19.8619
77 1.785 1.25093 21.1472
78 1.80833 1.67717 22.9157
79 1.83167 2.06311 25.1477
80 1.855 2.32504 27.7275
81 1.87833 2.40666 30.4655
82 1.90167 2.29072 33.1368
83 1.925 2.01417 35.5436
84 1.94833 1.64664 37.5592
85 1.97167 1.2672 39.1477
86 1.995 0.942451 40.3572
87 2.01833 0.719118 41.3018
88 2.04167 0.611142 42.1233
89 2.065 0.608578 42.9601
90 2.08833 0.677667 43.9131
91 2.11167 0.77901 45.0332
92 2.135 0.868274 46.3095
93 2.15833 0.914335 47.6829
94 2.18167 0.906856 49.0748
95 2.205 0.852334 50.4111
96 2.22833 0.777541 51.656
97 2.25167 0.708924 52.815
98 2.275 0.681196 53.9519
99 2.29833 0.712878 55.1662
100 2.32167 0.808213 56.5709
101 2.345 0.952004 58.259
102 2.36833 1.11405 60.274
103 2.39167 1.25713 62.5928
104 2.415 1.34169 65.116
105 2.43833 1.34567 67.6959
106 2.46167 1.26772 70.1731
107 2.485 1.12526 72.4137
108 2.50833 0.95245 74.3461
109 2.53167 0.783789 75.966
110 2.555 0.649337 77.3328
111 2.57833 0.558174 78.5294
112 2.60167 0.511172 79.645
113 2.625 0.495931 80.747
114 2.64833 0.504023 81.8869
115 2.67167 0.530551 83.108
116 2.695 0.585173 84.4785
117 2.71833 0.682548 86.1049
118 2.74167 0.838604 88.1375
119 2.765 1.05738 90.7442
120 2.78833 1.32156 94.0574
121 2.81167 1.59443 98.1219
122 2.835 1.82404 102.849
123 2.85833 1.95938 108.011
124 2.88167 1.96809 113.281
125 2.905 1.85151 118.32
126 2.92833 1.63378 122.837
127 2.95167 1.3623 126.664
128 2.975 1.08512 129.761
129 2.99833 0.842108 132.202
130 3.02167 0.654567 134.13
131 3.045 0.533206 135.724
132 3.06833 0.474057 137.163
133 3.09167 0.471843 138.617
134 3.115 0.520978 140.247
135 3.13833 0.614469 142.199
136 3.16167 0.741744 144.59
137 3.185 0.8873 147.492
138 3.20833 1.0291 150.908
139 3.23167 1.14296 154.757
140 3.255 1.21138 158.896
141 3.27833 1.22718 163.149
142 3.30167 1.19885 167.363
143 3.325 1.14181 171.433
144 3.34833 1.07554 175.322
145 3.37167 1.01578 179.045
146 3.395 0.967709 182.642
147 3.41833 0.93064 186.148
148 3.44167 0.901386 189.591
149 3.465 0.874009 192.975
150 3.48833 0.853187 196.323
