# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
150000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 0 0
39 0.898333 0 0
40 0.921667 5.28369e-06 1.05263e-06
41 0.945 0.000967505 0.000203684
42 0.968333 0.0272603 0.00619842
43 0.991667 0.270303 0.0685389
44 1.015 1.16542 0.350118
45 1.03833 2.81945 1.06301
46 1.06167 4.52254 2.2585
47 1.085 5.44675 3.76227
48 1.10833 5.37463 5.31063
49 1.13167 4.64867 6.70684
50 1.155 3.68489 7.85968
51 1.17833 2.7783 8.76437
52 1.20167 2.03907 9.4549
53 1.225 1.49708 9.98177
54 1.24833 1.11102 10.3878
55 1.27167 0.847404 10.7092
56 1.295 0.667807 10.9718
57 1.31833 0.548824 11.1955
58 1.34167 0.470579 11.3942
59 1.365 0.420517 11.5779
60 1.38833 0.395303 11.7566
61 1.41167 0.387967 11.9379
62 1.435 0.396125 12.1292
63 1.45833 0.420764 12.3391
64 1.48167 0.459428 12.5756
65 1.505 0.509392 12.8462
66 1.52833 0.563718 13.155
67 1.55167 0.614839 13.5022
68 1.575 0.655055 13.8833
69 1.59833 0.677643 14.2892
70 1.62167 0.685054 14.7117
71 1.645 0.678332 15.1422
72 1.66833 0.670755 15.58
73 1.69167 0.670891 16.0303
74 1.715 0.687395 16.5044
75 1.73833 0.734416 17.0249
76 1.76167 0.811311 17.6154
77 1.785 0.930559 18.3107
78 1.80833 1.09155 19.1478
79 1.83167 1.28484 20.1587
80 1.855 1.49826 21.3678
81 1.87833 1.70427 22.7779
82 1.90167 1.86628 24.3607
83 1.925 1.94858 26.0541
84 1.94833 1.94239 27.7832
85 1.97167 1.85894 29.478
86 1.995 1.72851 31.0913
87 2.01833 1.59047 32.6108
88 2.04167 1.47625 34.0539
89 2.065 1.40627 35.4602
90 2.08833 1.3837 36.8754
91 2.11167 1.39219 38.3313
92 2.135 1.41163 39.8403
93 2.15833 1.41683 41.3881
94 2.18167 1.39515 42.9454
95 2.205 1.33873 44.4718
96 2.22833 1.25335 45.9313
97 2.25167 1.14793 47.2962
98 2.275 1.03894 48.5573
99 2.29833 0.937242 49.7183
100 2.32167 0.849764 50.7925
101 2.345 0.785853 51.8059
102 2.36833 0.745679 52.7868
103 2.39167 0.728516 53.764
104 2.415 0.729252 54.7615
105 2.43833 0.745679 55.8012
106 2.46167 0.771043 56.8969
107 2.485 0.801539 58.0577
108 2.50833 0.831937 59.2852
109 2.53167 0.858621 60.5758
110 2.555 0.882945 61.9275
111 2.57833 0.909099 63.3448
112 2.60167 0.936956 64.8321
113 2.625 0.969398 66.3986
114 2.64833 1.00747 68.0557
115 2.67167 1.04914 69.8119
116 2.695 1.09479 71.6766
117 2.71833 1.14302 73.6574
118 2.74167 1.18901 75.7533
119 2.765 1.23188 77.962
120 2.78833 1.27502 80.2868
121 2.81167 1.31791 82.7301
122 2.835 1.36046 85.2943
123 2.85833 1.40435 87.9851
124 2.88167 1.44431 90.7978
125 2.905 1.47605 93.719
126 2.92833 1.49 96.7154
127 2.95167 1.4831 99.7456
128 2.975 1.45229 102.76
129 2.99833 1.40075 105.713
130 3.02167 1.33446 108.571
131 3.045 1.25847 111.307
132 3.06833 1.18529 113.924
133 3.09167 1.11935 116.433
134 3.115 1.06784 118.863
135 3.13833 1.02793 121.237
136 3.16167 1.0017 123.585
137 3.185 0.984877 125.928
138 3.20833 0.975162 128.282
139 3.23167 0.967493 130.652
140 3.255 0.962148 133.043
141 3.27833 0.955713 135.451
142 3.30167 0.947884 137.875
143 3.325 0.939783 140.311
144 3.34833 0.932804 142.764
145 3.37167 0.926022 145.233
146 3.395 0.923621 147.729
147 3.41833 0.925174 150.264
148 3.44167 0.932122 152.854
149 3.465 0.945046 155.515
150 3.48833 0.961976 158.26
