# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
550000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 0 0
39 0.898333 0 0
40 0.921667 5.28369e-06 1.05263e-06
41 0.945 0.000216118 4.63158e-05
42 0.968333 0.0102531 0.00230105
43 0.991667 0.130821 0.0324726
44 1.015 0.72776 0.208308
45 1.03833 2.22091 0.769861
46 1.06167 4.34096 1.91735
47 1.085 6.07125 3.59354
48 1.10833 6.60901 5.49751
49 1.13167 5.9458 7.2833
50 1.155 4.61445 8.72697
51 1.17833 3.19447 9.76717
52 1.20167 2.02494 10.4529
53 1.225 1.20281 10.8762
54 1.24833 0.693227 11.1296
55 1.27167 0.397792 11.2804
56 1.295 0.237973 11.374
57 1.31833 0.156336 11.4377
58 1.34167 0.116353 11.4869
59 1.365 0.100122 11.5306
60 1.38833 0.105451 11.5783
61 1.41167 0.132229 11.6401
62 1.435 0.188929 11.7313
63 1.45833 0.289689 11.8758
64 1.48167 0.442486 12.1036
65 1.505 0.645226 12.4463
66 1.52833 0.867978 12.9218
67 1.55167 1.06456 13.5229
68 1.575 1.17369 14.2057
69 1.59833 1.16326 14.9026
70 1.62167 1.03795 15.5428
71 1.645 0.839874 16.0758
72 1.66833 0.625617 16.4841
73 1.69167 0.443564 16.7818
74 1.715 0.317184 17.0006
75 1.73833 0.254147 17.1807
76 1.76167 0.261548 17.3711
77 1.785 0.354979 17.6363
78 1.80833 0.570404 18.0737
79 1.83167 0.947582 18.8193
80 1.855 1.5018 20.0312
81 1.87833 2.16339 21.8212
82 1.90167 2.77326 24.1732
83 1.925 3.14204 26.9037
84 1.94833 3.15036 29.7083
85 1.97167 2.8137 32.2734
86 1.995 2.26966 34.3919
87 2.01833 1.68365 36.0004
88 2.04167 1.19542 37.169
89 2.065 0.866456 38.0354
90 2.08833 0.700309 38.7517
91 2.11167 0.676365 39.459
92 2.135 0.763841 40.2755
93 2.15833 0.925278 41.2864
94 2.18167 1.10659 42.5216
95 2.205 1.24836 43.945
96 2.22833 1.29729 45.4556
97 2.25167 1.23049 46.9187
98 2.275 1.07394 48.2222
99 2.29833 0.87965 49.3119
100 2.32167 0.703643 50.2013
101 2.345 0.591039 50.9636
102 2.36833 0.575949 51.7212
103 2.39167 0.664349 52.6123
104 2.415 0.850093 53.7751
105 2.43833 1.09803 55.306
106 2.46167 1.34436 57.2165
107 2.485 1.52729 59.4283
108 2.50833 1.58883 61.7727
109 2.53167 1.51666 64.0523
110 2.555 1.34191 66.1067
111 2.57833 1.12122 67.8547
112 2.60167 0.913611 69.3049
113 2.625 0.763844 70.5393
114 2.64833 0.688311 71.6714
115 2.67167 0.676415 72.8037
116 2.695 0.705317 74.005
117 2.71833 0.743837 75.294
118 2.74167 0.767383 76.6468
119 2.765 0.77498 78.0362
120 2.78833 0.779187 79.4569
121 2.81167 0.81938 80.976
122 2.835 0.933565 82.7357
123 2.85833 1.15243 84.9437
124 2.88167 1.4682 87.8029
125 2.905 1.83119 91.427
126 2.92833 2.15166 95.754
127 2.95167 2.33587 100.527
128 2.975 2.32549 105.353
129 2.99833 2.12449 109.832
130 3.02167 1.80193 113.691
131 3.045 1.44031 116.823
132 3.06833 1.11373 119.282
133 3.09167 0.86289 121.216
134 3.115 0.701644 122.812
135 3.13833 0.614373 124.231
136 3.16167 0.581989 125.596
137 3.185 0.58735 126.993
138 3.20833 0.62209 128.495
139 3.23167 0.687548 130.179
140 3.255 0.787831 132.136
141 3.27833 0.919423 134.454
142 3.30167 1.06615 137.179
143 3.325 1.19927 140.288
144 3.34833 1.28629 143.67
145 3.37167 1.30952 147.162
146 3.395 1.27506 150.608
147 3.41833 1.207 153.916
148 3.44167 1.14081 157.085
149 3.465 1.09707 160.174
150 3.48833 1.08186 163.261
