# Time-averaged data for fix RDF_OUTPUT
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
100000 150
1 0.0116667 0 0
2 0.035 0 0
3 0.0583333 0 0
4 0.0816667 0 0
5 0.105 0 0
6 0.128333 0 0
7 0.151667 0 0
8 0.175 0 0
9 0.198333 0 0
10 0.221667 0 0
11 0.245 0 0
12 0.268333 0 0
13 0.291667 0 0
14 0.315 0 0
15 0.338333 0 0
16 0.361667 0 0
17 0.385 0 0
18 0.408333 0 0
19 0.431667 0 0
20 0.455 0 0
21 0.478333 0 0
22 0.501667 0 0
23 0.525 0 0
24 0.548333 0 0
25 0.571667 0 0
26 0.595 0 0
27 0.618333 0 0
28 0.641667 0 0
29 0.665 0 0
30 0.688333 0 0
31 0.711667 0 0
32 0.735 0 0
33 0.758333 0 0
34 0.781667 0 0
35 0.805 0 0
36 0.828333 0 0
37 0.851667 0 0
38 0.875 0 0
39 0.898333 9.95115e-05 3.57895e-05
40 0.921667 0.0838217 0.0317711
41 0.945 3.28409 1.33888
42 0.968333 13.7809 7.09807
43 0.991667 9.6489 11.3271
44 1.015 1.41266 11.9757
45 1.03833 0.0500605 11.9998
46 1.06167 0.000474611 12
47 1.085 3.00944e-06 12
48 1.10833 0 12
49 1.13167 0 12
50 1.155 0 12
51 1.17833 0 12
52 1.20167 0 12
53 1.225 0 12
54 1.24833 0 12
55 1.27167 6.57412e-06 12
56 1.295 0.00108654 12.0008
57 1.31833 0.0467666 12.037
58 1.34167 0.607628 12.5245
59 1.365 2.39106 14.5101
60 1.38833 2.86647 16.9724
61 1.41167 1.03784 17.8942
62 1.435 0.111606 17.9966
63 1.45833 0.00354835 18
64 1.48167 2.6898e-05 18
65 1.505 0 18
66 1.52833 0 18
67 1.55167 0 18
68 1.575 4.76695e-07 18
69 1.59833 0.000231595 18.0003
70 1.62167 0.0256478 18.0303
71 1.645 0.705651 18.8814
72 1.66833 4.79384 24.828
73 1.69167 8.55164 35.7347
74 1.715 4.1744 41.2066
75 1.73833 0.566763 41.9699
76 1.76167 0.0215202 41.9997
77 1.785 0.000235362 42
78 1.80833 7.22323e-07 42
79 1.83167 0 42
80 1.855 1.3728e-05 42
81 1.87833 0.00332944 42.0053
82 1.90167 0.144319 42.2379
83 1.925 1.3513 44.4695
84 1.94833 3.16605 49.8258
85 1.97167 2.01626 53.319
86 1.995 0.363963 53.9646
87 2.01833 0.0192024 53.9995
88 2.04167 0.000286997 54
89 2.065 1.93836e-06 54
90 2.08833 0.000365828 54.0007
91 2.11167 0.0233918 54.0472
92 2.135 0.442851 54.9469
93 2.15833 2.60346 60.352
94 2.18167 4.83198 70.6018
95 2.205 2.84237 76.7608
96 2.22833 0.527905 77.929
97 2.25167 0.0308512 77.9987
98 2.275 0.000543533 78
99 2.29833 5.88012e-05 78.0001
100 2.32167 0.00551164 78.0134
101 2.345 0.125723 78.3215
102 2.36833 0.783672 80.2805
103 2.39167 1.3898 83.8235
104 2.415 0.720341 85.6958
105 2.43833 0.109679 85.9864
106 2.46167 0.00496145 85.9998
107 2.485 0.000218014 86.0004
108 2.50833 0.0151339 86.0429
109 2.53167 0.406721 87.2047
110 2.555 3.08115 96.1689
111 2.57833 6.9044 116.625
112 2.60167 4.69755 130.795
113 2.625 0.978788 133.801
114 2.64833 0.0624151 133.996
115 2.67167 0.00142821 134.001
116 2.695 0.00908047 134.03
117 2.71833 0.118742 134.421
118 2.74167 0.50995 136.129
119 2.765 0.726929 138.606
120 2.78833 0.344466 139.8
121 2.81167 0.0539646 139.99
122 2.835 0.00315773 140.001
123 2.85833 0.0230159 140.085
124 2.88167 0.409407 141.6
125 2.905 2.27394 150.153
126 2.92833 4.00595 165.462
127 2.95167 2.26862 174.271
128 2.975 0.413469 175.902
129 2.99833 0.0247856 176.001
130 3.02167 0.0297896 176.122
131 3.045 0.393542 177.748
132 3.06833 1.68577 184.822
133 3.09167 2.33254 194.758
134 3.115 1.04941 199.296
135 3.13833 0.153103 199.968
136 3.16167 0.0113306 200.019
137 3.185 0.11353 200.532
138 3.20833 0.893892 204.633
139 3.23167 2.14045 214.595
140 3.255 1.5902 222.104
141 3.27833 0.368373 223.868
142 3.30167 0.0288803 224.009
143 3.325 0.0703976 224.355
144 3.34833 0.637943 227.543
145 3.37167 1.81995 236.764
146 3.395 1.65281 245.254
147 3.41833 0.48101 247.759
148 3.44167 0.0546389 248.047
149 3.465 0.256194 249.418
150 3.48833 2.02855 260.419
