Wavelength,S1c/R1
470,4668.422723
471,4375.996715
472,5018.447377
473,4978.781765
474,5567.923052
475,4408.488069
476,6637.469847
477,6792.263505
478,6960.142745
479,9545.494463
480,9334.702118
481,10803.79502
482,13680.10151
483,15458.49859
484,21107.2579
485,26390.48366
486,28943.4476
487,35558.579
488,41420.07825
489,52413.19026
490,62483.1835
491,79266.83451
492,92627.22859
493,110878.6368
494,141552.9061
495,170499.0767
496,204241.9011
497,251605.9335
498,295404.2036
499,359898.68
500,425834.8435
501,502897.5466
502,593336.1768
503,697467.0003
504,816081.6895
505,942401.9898
506,1066977.892
507,1233728.492
508,1380981.925
509,1555911.926
510,1722831.912
511,1888478.586
512,2053787.992
513,2211172.055
514,2353843.198
515,2492627.139
516,2576196.023
517,2678710.911
518,2735716.24
519,2787389.185
520,2851351.805
521,2851062.81
522,2846096.546
523,2839592.718
524,2786098.894
525,2741289.385
526,2683073.703
527,2641328.846
528,2586877.574
529,2498137.098
530,2407786.052
531,2357326.395
532,2271397.348
533,2181605.671
534,2119313.329
535,2013942.642
536,1964194.573
537,1865740.258
538,1798956.035
539,1727015.22
540,1670570.904
541,1629809.83
542,1569352.398
543,1509111.411
544,1483114.461
545,1425531.136
546,1368053.478
547,1324872.832
548,1285663.153
549,1243690.614
550,1197637.716
551,1177817.315
552,1164721.896
553,1117700.524
554,1106763.545
555,1067101.064
556,1039727.761
557,1016182.119
558,985681.4531
559,979808.9305
560,957299.6006
561,926527.2836
562,887422.5035
563,879741.5004
564,852503.7311
565,831751.4717
566,806711.3875
567,770348.2019
568,743196.3763
569,728737.0511
570,703813.6193
571,685085.0741
572,655269.2643
573,629847.2509
574,607516.8258
575,596890.3386
576,561599.1982
577,545726.6632
578,526814.6897
579,492730.1759
580,471577.9008
581,465035.9658
582,449604.6718
583,434139.2046
584,405457.4185
585,400530.0876
586,368133.4064
587,365473.7464
588,347792.334
589,324477.1986
590,323188.9288
591,307122.0389
592,292848.9165
593,291880.7174
594,275160.1477
595,263183.8372
596,251481.1468
597,244910.4911
598,234655.6433
599,228394.095
600,213602.0462
601,211933.63
602,199103.0566
603,199619.7045
604,196498.7564
605,184597.5284
606,176252.9203
607,183742.5815
608,182914.5436
609,192646.1448
610,196380.1463
611,189133.9823
612,172614.5137
613,156041.1234
614,144514.1585
615,134803.413
616,129373.9023
617,130913.1034
618,132659.7674
619,120526.9064
620,113514.2841
621,117859.8908
622,107904.0508
623,105650.6739
624,102624.0691
625,101364.6038
626,92187.52301
627,95502.68803
628,92663.78694
629,87437.10427
630,82607.94657
631,83433.9855
632,68819.89119
633,74538.8751
634,66107.30893
635,64811.78647
636,64429.96305
637,61761.18798
638,56647.3995
639,50369.05391
640,53934.18896
641,47946.38447
642,43157.08686
643,49517.18194
644,44993.81189
645,40505.51446
646,38541.93896
647,50309.01362
648,38725.44877
649,43429.41173
650,37605.80529
