Wavelength,S1c/R1
470,6677.291716
471,6880.908333
472,5832.55763
473,6209.243296
474,7094.706144
475,7528.768514
476,6992.745422
477,7123.894788
478,8187.257825
479,10178.38135
480,9856.270994
481,12022.09111
482,14812.79319
483,17379.7907
484,18591.58648
485,23638.50088
486,28565.82205
487,34580.5996
488,41693.65956
489,52359.39022
490,59855.33777
491,74261.08131
492,94776.08666
493,113219.1333
494,140756.1459
495,167297.0282
496,199639.7635
497,242157.0771
498,286459.6652
499,347971.7443
500,405905.0052
501,463500.2944
502,557463.5203
503,658294.2283
504,741505.9606
505,847708.8704
506,949841.7993
507,1084400.014
508,1211633.307
509,1341405.218
510,1462959.269
511,1576007.247
512,1694533.038
513,1820272.297
514,1908821.173
515,2000478.827
516,2086009.256
517,2150850.367
518,2196167.482
519,2235312.265
520,2262041.368
521,2268641.884
522,2299632.161
523,2276920.425
524,2255189.404
525,2242949.411
526,2181376.345
527,2160898.317
528,2094059.341
529,2066904.331
530,1988064.736
531,1904483.899
532,1837743.006
533,1740250.542
534,1678905.531
535,1587229.1
536,1515973.921
537,1432697.648
538,1373299.786
539,1304170.708
540,1225423.28
541,1138295.651
542,1103687.897
543,1043383.613
544,979167.6429
545,915534.0758
546,885717.9418
547,820679.5402
548,783990.7177
549,748924.8533
550,711204.4825
551,679268.2329
552,653472.1061
553,629420.1839
554,607919.6888
555,599469.2324
556,588967.7918
557,594199.7684
558,586087.2066
559,592691.7772
560,593533.4212
561,624114.5678
562,637300.0915
563,671258.3192
564,702852.5415
565,708015.5725
566,750046.6463
567,785383.6285
568,796361.7942
569,838358.5501
570,850527.3226
571,879041.7904
572,881164.8176
573,915070.9299
574,898977.9041
575,904793.5341
576,897224.0642
577,885973.294
578,863364.539
579,852761.8849
580,827033.1303
581,790479.61
582,782198.7786
583,741028.6117
584,732357.0951
585,690804.3628
586,666128.2238
587,641858.4157
588,628452.5
589,606977.8456
590,564219.8245
591,550250.5485
592,518980.8484
593,508195.8404
594,467292.6261
595,450310.9742
596,439870.6102
597,431033.1975
598,404651.7859
599,396972.3428
600,387102.2211
601,374061.0751
602,357920.1014
603,346730.2322
604,331636.3795
605,328568.8919
606,319003.7819
607,309681.1042
608,279875.9668
609,287935.6458
610,278927.4035
611,271726.9283
612,269234.9684
613,269580.0393
614,274137.6337
615,265000.245
616,259275.0392
617,240206.5254
618,241469.059
619,240237.9651
620,225170.7162
621,224126.5596
622,226997.1795
623,220365.5242
624,216136.3732
625,205177.2119
626,202402.0943
627,194190.3079
628,189806.1866
629,189444.7396
630,189022.1936
631,170013.4427
632,166961.2944
633,164832.4523
634,161548.1641
635,151887.5336
636,144273.5746
637,140063.9765
638,137960.876
639,124102.4255
640,121126.446
641,120286.415
642,117505.3199
643,112886.0554
644,101869.606
645,98018.33496
646,102175.2636
647,97627.22044
648,97301.07057
649,86144.8135
650,86171.79801
