Wavelength,S1c/R1
470,1928.572739
471,1448.821626
472,2378.841912
473,2019.27787
474,2379.654923
475,2159.12141
476,2112.900077
477,2717.763368
478,2558.574852
479,2728.003258
480,3228.088268
481,3067.621546
482,2627.994845
483,2275.359046
484,2477.913191
485,3341.411492
486,2577.960659
487,2404.43064
488,2616.318181
489,1991.906809
490,1839.430017
491,1955.481392
492,2762.281499
493,3287.890481
494,3787.634264
495,3887.422412
496,4370.280666
497,3337.307861
498,3577.459341
499,4354.717871
500,3220.877356
501,4719.940204
502,4911.027101
503,5401.385747
504,5128.864843
505,6294.903395
506,5750.104481
507,6685.62394
508,6605.40795
509,5968.473196
510,7290.761935
511,8759.874935
512,9366.898637
513,6789.529766
514,9209.875381
515,8798.973045
516,8864.411349
517,9348.256662
518,9656.667964
519,7429.313945
520,8815.793927
521,7820.663095
522,8972.11196
523,7988.90971
524,9380.233026
525,9508.092359
526,9088.162501
527,9150.982123
528,7924.479255
529,8193.520836
530,6877.898278
531,8751.664916
532,8006.469612
533,6542.94045
534,7154.518271
535,6565.413934
536,8227.282619
537,8328.337832
538,6684.677598
539,9081.279753
540,8891.874142
541,8934.737405
542,11864.51679
543,11228.22261
544,12243.34606
545,11311.93165
546,16447.93332
547,20157.55818
548,20803.14475
549,23841.74256
550,28374.95316
551,29991.79309
552,37731.73526
553,44630.33631
554,53163.31684
555,57440.31118
556,68876.09616
557,75921.30107
558,85261.82335
559,96406.337
560,113536.9021
561,125009.0111
562,146690.4268
563,165439.1225
564,187163.9841
565,204797.7843
566,226077.8707
567,237169.152
568,263591.7742
569,288876.6603
570,299997.3138
571,307758.4533
572,330219.9037
573,329073.5175
574,335591.5125
575,349718.4845
576,346971.1492
577,342756.9682
578,334789.7606
579,330999.1563
580,328202.9249
581,302425.525
582,306979.3484
583,287547.6201
584,279767.5342
585,268252.9409
586,259520.4765
587,246157.5642
588,236533.775
589,229250.8979
590,224285.6161
591,208492.9109
592,190079.1442
593,186687.6364
594,174870.6924
595,176552.3984
596,160638.7
597,150292.0612
598,149668.0351
599,139907.7149
600,135524.1663
601,138173.1512
602,131662.1746
603,126328.5568
604,123012.184
605,115855.0429
606,111656.2886
607,109923.2174
608,114418.653
609,106254.6975
610,114017.8769
611,106632.8994
612,106876.633
613,101367.9179
614,105611.2317
615,105096.5156
616,108351.871
617,113071.3978
618,96364.15847
619,100765.7297
620,98434.43072
621,99063.81568
622,110405.0972
623,103052.9118
624,100018.8747
625,101425.6807
626,97299.09966
627,90111.1869
628,93508.54741
629,85831.60116
630,86025.794
631,81890.79444
632,76457.32134
633,91541.41262
634,79967.02571
635,68573.96654
636,75270.96636
637,63608.73433
638,66282.93645
639,60046.50224
640,60513.89169
641,58309.85284
642,55271.455
643,62931.75224
644,53487.55121
645,53263.60459
646,54291.57034
647,49455.69885
648,43217.16576
649,41344.23147
650,42674.2582
