Wavelength,S1/R1c
400,207.431817
401,211.2263988
402,213.6158687
403,210.6907476
404,219.1891872
405,219.1253007
406,223.0361973
407,220.9285348
408,225.9623822
409,230.2213288
410,236.719967
411,239.306635
412,246.6500367
413,258.5601839
414,265.7903355
415,271.8670351
416,280.6617598
417,287.9289158
418,299.7291311
419,313.7310422
420,326.2210204
421,339.9175309
422,352.5403041
423,366.9630177
424,389.9365395
425,404.316816
426,420.2961664
427,443.7644486
428,472.3391764
429,493.3962363
430,514.5782237
431,538.8562081
432,570.5173018
433,600.5244587
434,629.455458
435,657.4076021
436,685.5996888
437,712.9871239
438,751.8812928
439,783.4872191
440,812.6651634
441,848.5478963
442,889.0020924
443,929.750937
444,972.8271049
445,1003.42746
446,1055.032482
447,1118.562082
448,1169.257392
449,1249.697014
450,1309.405758
451,1396.41388
452,1481.889729
453,1576.197682
454,1672.051095
455,1774.729981
456,1887.868497
457,2011.981553
458,2119.883923
459,2225.743853
460,2367.878564
461,2484.755491
462,2595.669933
463,2710.308599
464,2813.582125
465,2907.702813
466,3011.575608
467,3130.460377
468,3220.71729
469,3301.447417
470,3364.112959
471,3428.684835
472,3487.666483
473,3589.712628
474,3663.075514
475,3770.780592
476,3853.789312
477,3993.272291
478,4110.428347
479,4261.992281
480,4423.805916
481,4599.52253
482,4784.942018
483,4982.712721
484,5199.940555
485,5423.109812
486,5668.401043
487,5883.041646
488,6111.872347
489,6357.181943
490,6588.585135
491,6778.632023
492,7031.686475
493,7231.245274
494,7400.249589
495,7561.017471
496,7719.269078
497,7840.981835
498,7910.274237
499,8003.251283
500,8023.616351
501,8005.358398
502,7997.268162
503,7917.809082
504,7843.441987
505,7727.391747
506,7563.681449
507,7396.357193
508,7180.141597
509,6934.879819
510,6712.249204
511,6467.835517
512,6223.451926
513,5992.009822
514,5738.126667
515,5509.925179
516,5265.011634
517,5045.080746
518,4843.095605
519,4617.420292
520,4430.255475
521,4234.767773
522,4079.570099
523,3914.327332
524,3769.774229
525,3636.390559
526,3529.73434
527,3424.373988
528,3361.39043
529,3294.757756
530,3300.806733
531,3287.515825
532,3310.331481
533,3378.913003
534,3452.133096
535,3557.943359
536,3657.483658
537,3816.362617
538,3963.27208
539,4157.18
540,4351.972852
541,4525.650624
542,4758.2767
543,4985.686514
544,5238.839596
545,5483.607427
546,5734.00945
547,5963.228119
548,6206.560414
549,6457.568325
550,6649.506652
551,6929.884355
552,7077.445164
553,7251.393051
554,7416.179363
555,7587.982926
556,7666.574977
557,7738.759574
558,7780.836634
559,7835.573791
560,7813.742481
561,7754.725714
562,7698.722863
563,7540.515816
564,7330.383253
565,7135.929937
566,6838.90347
567,6519.739042
568,6138.56601
569,5754.645487
570,5329.282217
571,4873.896815
572,4430.130959
573,3990.572312
574,3536.370011
575,3132.505611
576,2734.81142
577,2376.875855
578,2057.485588
579,1751.553219
580,1505.234485
