Wavelength,S1/R1c
400,98.46958272
401,100.4402529
402,99.12165695
403,101.7172819
404,101.58642
405,106.1450074
406,108.3752795
407,109.4423597
408,112.5783208
409,114.9796175
410,114.7057035
411,120.4968164
412,121.4426273
413,125.4101915
414,126.6446547
415,132.4494782
416,129.7416883
417,135.4862041
418,134.9432853
419,137.018638
420,139.4009269
421,136.5807902
422,140.2817445
423,139.0276418
424,140.3504963
425,141.5881371
426,138.6570936
427,139.5682577
428,141.222589
429,138.7148917
430,140.2592616
431,133.9260067
432,136.3267023
433,134.8785394
434,134.008133
435,136.2697643
436,138.3908345
437,132.1017158
438,135.4657938
439,136.6983471
440,137.7756503
441,138.54044
442,138.0036507
443,142.624555
444,140.8730482
445,147.6921178
446,147.9608568
447,145.4920309
448,144.7786555
449,149.3552529
450,151.4621378
451,152.746364
452,157.7758514
453,157.7636267
454,156.4873126
455,162.5838183
456,165.9040339
457,171.0810242
458,173.3388686
459,179.5597836
460,185.395184
461,192.5800812
462,202.3878783
463,209.5984714
464,222.140567
465,231.6626622
466,243.95526
467,267.8873617
468,282.0710279
469,296.8060284
470,322.9703649
471,338.5929649
472,368.8064516
473,382.8373676
474,411.2976292
475,440.8080466
476,459.2332757
477,486.7871505
478,512.6530988
479,540.3602921
480,571.1105199
481,589.6130962
482,613.8861281
483,633.8893209
484,654.4812935
485,673.7415077
486,701.7843848
487,721.0325455
488,740.2192121
489,764.7434636
490,794.5240411
491,833.4747761
492,860.2127433
493,909.6237769
494,938.8778722
495,990.8308626
496,1041.739129
497,1101.046024
498,1172.340347
499,1245.642792
500,1327.268226
501,1402.983881
502,1500.168081
503,1590.548342
504,1696.214133
505,1828.228852
506,1947.423869
507,2061.465812
508,2183.942705
509,2316.133935
510,2449.039877
511,2560.348837
512,2676.268077
513,2770.892484
514,2864.834482
515,2951.939393
516,3008.012012
517,3047.192756
518,3102.964253
519,3107.333761
520,3107.133683
521,3112.161806
522,3073.883107
523,3053.836773
524,3026.26068
525,2993.135822
526,2966.862495
527,2957.312021
528,2963.301032
529,2942.80718
530,2982.23045
531,3014.942703
532,3068.796885
533,3144.38781
534,3242.955188
535,3378.241286
536,3486.44747
537,3638.392792
538,3804.046789
539,3994.061083
540,4179.486343
541,4379.530334
542,4595.920074
543,4826.953462
544,5075.786807
545,5336.49467
546,5539.440398
547,5791.423095
548,6019.542435
549,6258.379868
550,6465.09853
551,6699.216478
552,6883.619739
553,7064.10355
554,7188.211569
555,7326.154714
556,7430.059394
557,7551.72525
558,7586.630272
559,7595.57419
560,7615.94487
561,7529.149945
562,7445.83742
563,7349.482465
564,7122.521942
565,6929.982998
566,6655.583555
567,6338.460159
568,5963.598805
569,5564.343429
570,5183.598589
571,4727.198023
572,4338.814821
573,3889.774007
574,3446.708549
575,3003.526413
576,2639.564773
577,2283.073886
578,1974.181298
579,1699.06743
580,1462.892222
