Wavelength,S1c/R1
460,25528.9740851242
461,25528.0685764187
462,24101.3662191977
463,24958.6297261965
464,24434.4314009169
465,25370.3326001196
466,24220.5351302845
467,25326.4596881151
468,24126.0875913859
469,25007.7918619687
470,24474.0041137288
471,24264.3107767919
472,23166.1009119868
473,23995.0730228304
474,24380.8198853584
475,23706.9236547212
476,23573.6016377695
477,23778.9347159018
478,24088.1466829919
479,23794.0813887934
480,24542.5938292621
481,24937.2916562851
482,25825.4144101496
483,27074.5435332305
484,28033.4856305579
485,30616.7922401645
486,31978.2692519283
487,35166.4000543294
488,39924.1255573565
489,43567.6279714945
490,49892.588882458
491,59913.807547418
492,68438.4786594381
493,81215.9175788412
494,98857.2412351664
495,115373.84174475
496,136602.150171299
497,162239.978369696
498,190469.55759392
499,226726.295342785
500,265799.48209125
501,307898.783870601
502,357461.880646936
503,413962.050462243
504,467168.266296158
505,527113.730019862
506,593076.249050588
507,664382.88933134
508,721927.752585802
509,791879.379384722
510,852052.193904115
511,914806.804285098
512,974010.840498472
513,1025245.11598841
514,1068407.06101037
515,1115357.80453379
516,1149053.8777575
517,1169936.38667816
518,1186332.94092727
519,1204238.96843998
520,1208234.17886898
521,1213760.58209646
522,1215078.83677795
523,1197163.89108517
524,1175862.43664585
525,1157085.61776378
526,1135206.07205746
527,1108341.12789892
528,1079191.90858591
529,1053883.6535213
530,1017408.39883975
531,988513.320098544
532,951084.147397145
533,923071.316678665
534,884381.847930657
535,855646.234794834
536,827461.245057272
537,796178.868773784
538,762138.420423458
539,732655.096079185
540,701839.539307338
541,679739.218143097
542,658684.505656092
543,634820.73008483
544,609945.23515867
545,586275.095194776
546,571459.755851223
547,557858.473425416
548,534842.874947647
549,527953.648109669
550,512393.976827512
551,497075.181516792
552,487069.35752412
553,470501.711746537
554,464658.733424859
555,448482.357911057
556,443527.818686868
557,435163.472751019
558,426266.747660356
559,419079.056399183
560,411673.350325435
561,401592.912092285
562,391935.231588213
563,380115.011426439
564,379646.12602661
565,369009.132044462
566,357209.284949527
567,348960.214506183
568,342630.42054317
569,332185.670103936
570,324068.783977095
571,316763.654146288
572,302472.31963153
573,291098.606240443
574,285307.016325039
575,271870.932544607
576,265409.925628831
577,254797.577338371
578,247599.253510077
579,236403.293805251
580,229289.644213056
581,217473.935507231
582,208460.043000038
583,199144.705426624
584,193252.763540992
585,186275.880699607
586,171312.93467059
587,174997.784302187
588,160901.548084631
589,156812.898020403
590,149139.174147119
591,144164.047737265
592,138538.813222531
593,134827.557641655
594,128015.463179556
595,119270.943258917
596,121281.292811827
597,112085.866187809
598,111140.998679352
599,109716.52543985
600,103304.19482076
601,101862.025158142
602,97647.0122367713
603,97064.813825714
604,91460.2499422745
605,87463.6658683143
606,83737.1093774303
607,81181.4834175045
608,81258.5335722607
609,74907.0378986176
610,75552.1512286407
611,74759.0485164039
612,73950.4167080541
613,72329.6999428152
614,68657.8741018655
615,67063.3183318279
616,63314.6294146712
617,63340.3269237808
618,61207.2070299304
619,59317.2457845354
620,57297.1482982039
621,57911.277205565
622,53336.6254178965
623,53370.7990893494
624,50929.8914350236
625,50717.0634329024
626,47753.8277131489
627,47764.7789658333
628,48295.5549264524
629,41993.5623196471
630,42064.6454713035
631,41583.3931605033
632,41552.8604213244
633,39699.4722996213
634,38530.0984771312
635,40268.072965075
636,37889.214474129
637,37952.3165257299
638,33862.0613605195
639,35354.2468684564
640,36245.9623258828
641,35082.4406520444
642,36185.8040799065
643,33685.5757877827
644,33329.9022605853
645,32600.0794661115
646,36799.2284427125
647,32415.2024267642
648,30397.25704965
649,29061.9856199355
650,25636.1798540428
