Wavelength,S1c/R1
460,5962.10537700934
461,5957.64993815837
462,5708.9141072062
463,5757.69467927297
464,5403.86410474804
465,6072.46452813815
466,6099.06370913695
467,5937.12981834958
468,6264.12318226099
469,6238.52571526446
470,5798.73005111257
471,6187.02679890465
472,5882.31000247816
473,6324.99286546502
474,5652.46902967492
475,6507.85762064599
476,6188.33172225676
477,6048.55636940767
478,5955.86441118932
479,5656.50982832237
480,5937.90893594709
481,5811.70777507376
482,6298.09292204498
483,5965.14956630976
484,6156.587248534
485,5649.38805304239
486,6055.4309491919
487,6698.55967264002
488,6241.44683308785
489,6377.67199441358
490,6325.55987940178
491,6160.49444131078
492,6149.46729545351
493,6249.48067528981
494,6741.91551845466
495,6731.8339400975
496,6560.47411247319
497,6697.398451639
498,7219.49988986983
499,7478.78970832066
500,6936.95871094218
501,7919.74117475856
502,7848.63916025625
503,8215.92727122091
504,7954.30470528085
505,8395.16783078249
506,8583.84572620757
507,8758.21644605299
508,9392.17403815028
509,8723.24493765781
510,9217.49935067696
511,10050.3266693583
512,9382.50404301805
513,10083.1256361532
514,10688.3582337503
515,9519.77359091272
516,10922.2401285942
517,10067.7912601232
518,10917.0935462142
519,10153.1766587175
520,9518.5625491699
521,11117.8253856212
522,10322.3683715677
523,10321.9242428048
524,10450.8188913131
525,8805.62920250535
526,9580.90280274969
527,9643.2077297155
528,9280.42862495341
529,8952.3291806542
530,9202.9265216043
531,9037.83541524804
532,9414.42187936859
533,9478.44920767665
534,9430.18766626411
535,8491.25830748036
536,8761.23569444512
537,9483.25635843522
538,9614.00249806058
539,9970.36765070243
540,10008.6773911568
541,10600.7483881645
542,10566.5929392526
543,12309.5511235043
544,11989.7385984229
545,12587.6785911239
546,14773.1609023855
547,16197.2678567641
548,17623.2444627454
549,19715.1739530108
550,22127.4698587713
551,27028.550251472
552,30092.4988346271
553,34955.2934687048
554,39986.0754111224
555,46963.8554869745
556,54184.4797385674
557,61396.3787088266
558,71800.255927299
559,79886.1131445515
560,89215.8013179491
561,100664.972778202
562,109263.970834941
563,120714.679212224
564,129160.997532644
565,138157.247212777
566,145204.685813479
567,155369.970765215
568,158980.743019816
569,163617.327386713
570,168778.702340233
571,169948.841501032
572,175832.147641913
573,173156.231545836
574,174795.657031667
575,169837.898126239
576,169568.963585864
577,162478.933407406
578,162348.993238477
579,151449.596909947
580,149497.566386148
581,144912.032368811
582,139954.944360086
583,133239.532119941
584,127817.897988409
585,121690.394124498
586,119371.919628428
587,112900.049075233
588,111793.909386191
589,103186.050716323
590,102355.294285144
591,96161.2427502887
592,89376.6393206864
593,84222.5777413141
594,83678.7698491084
595,78282.5821899229
596,75310.6217395924
597,72325.0692606044
598,68303.327250929
599,66405.5070202704
600,62251.10042873
601,62827.967697787
602,61157.6991880738
603,58029.974609022
604,54701.7017580095
605,55617.9202675781
606,51991.617835169
607,52269.1935729562
608,50607.0136447681
609,48021.5326451831
610,47859.1098021923
611,48844.2995105512
612,46497.1593900855
613,47864.7230198229
614,50228.5154590093
615,47187.7513188748
616,43509.6254766972
617,45685.9613117104
618,45003.6387849971
619,46629.8879346758
620,43932.8620085679
621,44009.9970752801
622,46495.1213756769
623,41828.4720836928
624,41767.062512471
625,44745.6831977233
626,41288.4707325587
627,41525.8676117968
628,44298.8811114444
629,39354.9251447823
630,39531.649885854
631,39123.7679407079
632,34983.9060587089
633,37513.8891977268
634,36533.9734535369
635,33390.8137234871
636,36037.0390603739
637,35719.0365964826
638,32589.617394352
639,32696.2159201113
640,32144.126097775
641,30584.9425951193
642,29526.578227891
643,29049.3591277372
644,27186.7805543719
645,28718.2365674829
646,25835.6102112615
647,25582.9408757005
648,24161.954748267
649,22613.4968694905
650,20416.0713818505
