Wavelength,S1c/R1
460,9158.1436289237
461,9135.13761896354
462,9537.87768945029
463,9471.76770803048
464,9409.0860262971
465,9316.96949576863
466,10108.2021369113
467,10082.7223375881
468,10577.4132038874
469,9730.1958997411
470,10348.9067114022
471,10493.8266336377
472,10676.4582315734
473,11304.5585572774
474,11560.3819309186
475,11212.3954574301
476,11685.9972992536
477,12089.3725933426
478,12492.5389586522
479,13093.0137826767
480,13945.7003346317
481,14239.0041561937
482,15939.3154546734
483,16822.9302115826
484,18505.3582704799
485,21758.5785015823
486,24216.3006937614
487,27817.5991067898
488,31777.5148260003
489,38864.8627785501
490,43445.2824514127
491,55174.7637685636
492,65155.1336651949
493,78600.4311546447
494,96849.0089658654
495,112907.340236774
496,139019.439166632
497,163689.173094837
498,196086.310911562
499,232852.934591389
500,270930.207750762
501,312547.446050608
502,365514.862604208
503,422010.652912887
504,481295.893124896
505,538874.358387098
506,612375.885322391
507,682596.322769425
508,747975.664366795
509,809483.613504024
510,879772.37741431
511,943792.468868547
512,998247.835510889
513,1054161.60618946
514,1102380.81895167
515,1142610.56957632
516,1174867.67620994
517,1196363.19932553
518,1227640.11417449
519,1234159.84696477
520,1241909.29727079
521,1241469.51872352
522,1233709.80271945
523,1225987.13239757
524,1209526.76707266
525,1186591.7571203
526,1165108.22224987
527,1149514.19644496
528,1116980.6284316
529,1077565.33242102
530,1049725.61538616
531,1020649.71506974
532,979229.10369975
533,948698.306703093
534,907380.295032366
535,871577.216423086
536,847040.936706009
537,810915.303265298
538,785185.042302922
539,752182.063135329
540,728706.380054362
541,690407.132770317
542,661956.366127425
543,643652.515002496
544,618171.544711808
545,597489.062691648
546,588628.269928236
547,568873.060175843
548,552906.395821894
549,539458.547227702
550,522216.976680112
551,514754.09533837
552,507009.715387509
553,496924.389754033
554,494696.566269763
555,487732.352874693
556,487000.142117292
557,482885.177878769
558,477944.985817246
559,485591.008917549
560,482771.495533774
561,490271.125724645
562,493092.598182546
563,503421.579906467
564,497030.174868043
565,502228.830395095
566,504402.994035141
567,502381.864140045
568,498038.252967093
569,495523.842574812
570,488536.934483469
571,482425.217876626
572,478759.364127539
573,472358.625840172
574,458035.70191569
575,447302.094014867
576,437736.824994701
577,419518.643264974
578,405823.152380033
579,395412.52776215
580,382796.643628486
581,361233.066413334
582,356009.540573765
583,338884.024916158
584,321507.161093559
585,315059.477454314
586,298493.755736155
587,294192.389466889
588,280038.388475029
589,263533.61431729
590,250436.969556951
591,244954.640864987
592,233789.406864042
593,221106.90653825
594,209024.046830005
595,201005.276025348
596,197350.432358345
597,191278.482873443
598,183974.227038144
599,173120.73224758
600,168722.326259243
601,160436.871378865
602,162027.59858929
603,152074.881365
604,147238.860590857
605,140088.843053009
606,138093.104536456
607,131366.667231879
608,130295.077946159
609,126200.966376109
610,121011.993261635
611,122495.609845747
612,114246.187048185
613,114435.144448682
614,111449.166286908
615,108945.391236965
616,111136.909468813
617,106256.959416681
618,104729.682047172
619,103195.97529611
620,103692.653843109
621,99885.2351749859
622,97523.6269216561
623,96460.5634861301
624,91862.7446421217
625,87076.2984225032
626,87620.0087485619
627,88977.2988573508
628,83059.1473392701
629,81633.0012264902
630,80173.610108248
631,80271.1884396781
632,76809.7519540229
633,73317.7268481397
634,70935.8153747308
635,66909.9436723541
636,66489.3944996735
637,63873.5114837119
638,58705.9418546699
639,63221.17711411
640,59052.4701121253
641,57367.8273000329
642,55379.2483898585
643,52368.8627460244
644,51791.98486018
645,51943.2399645987
646,50217.5322999346
647,45193.2267926794
648,42322.5490644836
649,41029.150106621
650,38479.8604825812
