Wavelength,S1c/R1
460,22724.3660886708
461,22728.4960569939
462,21551.6899131338
463,21787.1977927881
464,22195.2797946143
465,21419.5540686697
466,21791.6093409671
467,21470.9234170263
468,21087.5439819329
469,21914.3076054088
470,21591.3678275047
471,23371.8957071937
472,22903.6477453275
473,23478.7263155732
474,24335.4987211319
475,25211.7911564978
476,27659.7857177721
477,29655.4852186016
478,31894.8569800781
479,35553.8428625085
480,39866.4088090125
481,42296.2531751777
482,50913.7404588468
483,59913.3355731351
484,70813.1320339638
485,85690.7087415276
486,103296.412221411
487,125582.596024052
488,152243.510419979
489,184035.8940981
490,227265.314736584
491,283190.936263957
492,344761.839819982
493,420314.058876879
494,512646.880094483
495,618538.783652082
496,756283.155978255
497,916741.906414041
498,1091552.14771175
499,1305515.50875472
500,1564382.78415
501,1812091.77346277
502,2139564.45570804
503,2490794.28903294
504,2858613.19293692
505,3282493.76095828
506,3743463.15925879
507,4219004.52170276
508,4728968.37992427
509,5232340.56249818
510,5802134.8407939
511,6280439.98803668
512,6817167.16503087
513,7322499.17567119
514,7746228.4206728
515,8147737.56246606
516,8525909.23345985
517,8854748.45064482
518,9091066.44311268
519,9294192.69085408
520,9457633.40582769
521,9567281.82694421
522,9586210.6613679
523,9630214.31554294
524,9538600.84368259
525,9483935.88817493
526,9331611.20216266
527,9185605.38686696
528,9006028.24461948
529,8794449.6436503
530,8553341.01929945
531,8348615.96705372
532,8108394.24719271
533,7849663.30664365
534,7575194.70465776
535,7302466.82973028
536,7087315.58376891
537,6846312.53686905
538,6576279.33371198
539,6349608.75321132
540,6149714.56141123
541,5941125.72293647
542,5736053.48987797
543,5526971.20333909
544,5359425.34564525
545,5191195.25698688
546,5059917.91346355
547,4904228.10862129
548,4773320.78549565
549,4643263.38200634
550,4505398.216278
551,4412670.70582196
552,4290098.83524371
553,4216622.87033306
554,4100053.12298446
555,3998153.34976645
556,3913811.62651148
557,3824612.17254202
558,3749979.75791658
559,3654479.29589133
560,3577198.94617545
561,3493274.28778529
562,3431889.43841281
563,3308937.7759343
564,3227391.64896276
565,3131772.18122274
566,3038668.39018512
567,2972307.61904479
568,2854506.81236121
569,2781628.70743634
570,2703012.0602667
571,2603924.31328719
572,2517995.85590426
573,2424477.29624771
574,2341277.80939458
575,2247218.63748491
576,2180563.86648693
577,2092071.93461196
578,2017708.73890296
579,1912830.54537521
580,1843360.59658707
581,1774922.9794713
582,1704374.25909136
583,1642088.55744195
584,1575972.2303853
585,1510510.67499825
586,1452308.78400603
587,1387724.69350038
588,1353385.15183914
589,1283275.72737135
590,1227408.78129359
591,1181470.31494174
592,1127883.91279918
593,1094204.77500822
594,1053740.41250883
595,1014027.59053582
596,970037.803334497
597,929216.446912041
598,902296.055763162
599,882431.063044494
600,849397.933816745
601,813429.711026437
602,791857.825247613
603,765158.449128453
604,735200.101938171
605,715065.087874155
606,690044.917826751
607,665679.27776291
608,647270.023793843
609,635208.376727306
610,602111.055184232
611,583568.784711637
612,577006.304704816
613,552687.798817377
614,543796.739788544
615,516726.914118595
616,502194.395985894
617,489326.817675314
618,474140.187924479
619,457379.630263263
620,431782.008891525
621,439822.848486396
622,412261.586545065
623,392153.751467151
624,385505.520970937
625,368305.718498574
626,353810.629612369
627,348935.518108016
628,328913.770499605
629,319318.220573566
630,303808.117490029
631,302547.132700203
632,293854.408056694
633,270810.557711252
634,264918.380552316
635,260180.866919868
636,247120.080223956
637,245079.257782464
638,227628.421202604
639,228570.6288545
640,222439.6999635
641,208594.916645276
642,196700.494696885
643,188941.517861152
644,185343.750861326
645,180042.304974014
646,172687.372000232
647,161941.828403653
648,149021.858817814
649,145182.7776298
650,142087.861143839
