Wavelength,S1c/R1
460,16076.5692198129
461,17806.6296600452
462,16837.2389516473
463,16986.8589383438
464,17519.658533012
465,17733.033832272
466,19908.4476129179
467,18238.7873471212
468,18622.4727514242
469,19500.3117686649
470,20540.2858241642
471,21243.3221145301
472,21393.7172572475
473,22608.4460059799
474,24072.209138454
475,24967.1678769992
476,25871.2898555613
477,28163.8346011014
478,30504.8213579149
479,34327.4291852846
480,37284.8109502348
481,42054.6057051519
482,48000.1834359746
483,57036.8564208165
484,63066.3947068815
485,77488.8089763682
486,89737.4307664225
487,109396.996010869
488,131501.369793532
489,155461.358050118
490,194639.731228298
491,233634.667294877
492,280857.719838161
493,344980.252979793
494,419112.011945209
495,497433.498538784
496,605644.686835425
497,733038.967714531
498,859507.341166691
499,1024743.21573124
500,1215287.83222812
501,1422581.59643737
502,1659860.86725352
503,1915455.53700793
504,2187962.49160048
505,2478669.11238892
506,2816688.06468609
507,3137271.27406955
508,3471021.80134258
509,3841203.59891989
510,4177096.3950315
511,4504365.60288489
512,4828261.49564638
513,5121019.20598815
514,5416852.68099238
515,5639143.17623874
516,5875652.12839788
517,6044458.49630824
518,6204567.21566562
519,6297674.03222676
520,6399928.25493044
521,6457191.10862683
522,6492513.62897238
523,6473145.09466325
524,6443237.09427946
525,6409558.25624758
526,6324050.08136263
527,6193899.96522884
528,6087032.7832819
529,5919781.49268127
530,5742002.55282234
531,5607811.6172768
532,5405857.13820084
533,5186492.83040881
534,4976636.41914369
535,4748586.15535168
536,4567104.62063321
537,4337289.10422974
538,4133618.96037548
539,3915722.65021224
540,3727002.72277531
541,3529816.15893818
542,3347137.09836123
543,3172669.21067266
544,3001224.15569124
545,2867636.27832967
546,2720437.96752591
547,2583837.93922267
548,2471411.0505404
549,2359961.02863852
550,2261108.37356617
551,2185665.29227254
552,2103390.346763
553,2050269.63804192
554,2025110.67745752
555,1974204.52944146
556,1986881.78824749
557,1989100.63182944
558,2012750.05672072
559,2044496.61732876
560,2102140.85515608
561,2160265.23018967
562,2244484.40156959
563,2352063.5373527
564,2427761.00091497
565,2548715.96735233
566,2677625.54569636
567,2787237.65775471
568,2926241.06416319
569,3035978.10429151
570,3135662.87886111
571,3223054.50091397
572,3295752.55174753
573,3349571.15272456
574,3398434.72354223
575,3399305.08151049
576,3408342.48092954
577,3369317.0773832
578,3351760.81075672
579,3312634.8100362
580,3212227.71892182
581,3160398.20635943
582,3079908.62580953
583,2952942.88876354
584,2896294.12466289
585,2778540.93152396
586,2692463.54297888
587,2592332.23204423
588,2484421.17217501
589,2395143.9258069
590,2304336.96266773
591,2217490.26542645
592,2128739.9414875
593,2029676.62497427
594,1928227.38148483
595,1863842.17859431
596,1769622.19649597
597,1713672.3207931
598,1649167.65274305
599,1597060.14024627
600,1515491.77543644
601,1475210.63833433
602,1429175.34724607
603,1369217.42771602
604,1329240.5561139
605,1284381.01527886
606,1237121.25404657
607,1216826.35027209
608,1179341.65391498
609,1158691.00615295
610,1141903.5303421
611,1111957.17443736
612,1088404.75116928
613,1087042.25233155
614,1058493.7991926
615,1029163.81148353
616,1026246.20427576
617,1004675.56563526
618,1003808.60302713
619,982047.266137329
620,959075.08774602
621,943654.718656457
622,916325.802216856
623,910726.014405802
624,902357.034601426
625,870098.04628642
626,853002.150341842
627,824430.439559302
628,815284.045512021
629,775041.396699575
630,763231.069361093
631,731974.295894734
632,716973.16434482
633,697441.216883733
634,650069.934022752
635,647599.814106089
636,623053.540964652
637,601102.045655217
638,569611.212284198
639,547742.388501142
640,532491.415922609
641,516939.362689311
642,495286.889513253
643,477003.565808407
644,458529.531896375
645,434149.994673318
646,415399.816142237
647,394008.383380844
648,373661.639725833
649,356346.757460269
650,346128.76257652
