Wavelength,S1c/R1
460,16196.3441400439
461,16318.6652719347
462,15265.8777606839
463,16304.2499004688
464,16453.9130266489
465,15612.0928998399
466,16350.3363378822
467,17714.1846323951
468,17735.3750761917
469,16522.0296878528
470,18539.6934408122
471,18752.4765499824
472,18925.311964377
473,19400.9833277837
474,19574.5367769316
475,19964.0906860702
476,21670.3319961602
477,22768.7905212832
478,24467.9966950173
479,26236.5104938857
480,27162.7598259751
481,30212.3246003429
482,33876.5791364323
483,39014.9055050442
484,43202.022823515
485,52542.8825864423
486,60892.0822108473
487,71995.1328845987
488,85486.1383967715
489,103736.389826802
490,127958.895060449
491,157442.353996582
492,189317.013149036
493,229208.022344474
494,278517.912393334
495,331762.636717274
496,407027.450183646
497,485114.799439773
498,583940.105238539
499,693627.483928734
500,819753.829752258
501,953709.299535364
502,1109171.99362742
503,1288045.19252293
504,1467983.88356437
505,1677210.62628796
506,1885060.2575635
507,2112752.27894126
508,2332777.64388063
509,2560212.73770696
510,2784360.34511668
511,2997929.14571
512,3196735.37716152
513,3383546.73185359
514,3550823.8765614
515,3697466.45866754
516,3845689.47087117
517,3945402.71383843
518,4026289.81873413
519,4066167.60325161
520,4119826.49059475
521,4142713.98532505
522,4146161.28468141
523,4115834.63880218
524,4079129.84758656
525,4019718.69473864
526,3962262.10287323
527,3880404.77675713
528,3799990.6975299
529,3674337.77853169
530,3580959.09146014
531,3463004.34738269
532,3339060.47783793
533,3217785.09013057
534,3100801.62996503
535,2954276.49344272
536,2865785.67611086
537,2749235.3690871
538,2625176.6204834
539,2493534.8820644
540,2393536.72090329
541,2302715.18084896
542,2201733.82594108
543,2109486.89590167
544,2018011.50079926
545,1924786.71832889
546,1876634.43944958
547,1793233.58177893
548,1718875.68167412
549,1659009.32855085
550,1623351.03590491
551,1558021.3414813
552,1530290.44035644
553,1494161.14069924
554,1471053.31313252
555,1457177.14530678
556,1425058.94606649
557,1424625.78795566
558,1429933.56929276
559,1437827.04520646
560,1459814.6232709
561,1469317.58753344
562,1493130.76327211
563,1505758.9083107
564,1542608.68771497
565,1568812.82826906
566,1588750.22587183
567,1615763.62013169
568,1636646.81024422
569,1653294.30267649
570,1662092.88550333
571,1678159.73822961
572,1674007.88145342
573,1655824.57883146
574,1647892.40328863
575,1626510.91770954
576,1608139.11668012
577,1544849.20206623
578,1535640.36905487
579,1479091.20797776
580,1446011.70009835
581,1396569.55153291
582,1345330.88782746
583,1298998.90763769
584,1245856.49761531
585,1199032.87579511
586,1145035.16062069
587,1103322.19403158
588,1059689.57038168
589,1023146.03266151
590,974038.562657164
591,943565.498180544
592,884157.704969769
593,860617.97322145
594,820341.140632044
595,791277.421949083
596,749388.110042941
597,722617.209746633
598,702679.634217136
599,676495.091725155
600,645909.667702599
601,634419.502892401
602,607167.817474718
603,585154.320281769
604,559812.848331267
605,542648.43851547
606,529812.596037345
607,510870.821621978
608,502049.25709968
609,496901.554816463
610,479998.48027548
611,470625.118682923
612,464856.662422964
613,450337.434715256
614,440781.145612255
615,427323.076712071
616,422583.631243113
617,429471.495555275
618,408374.734135416
619,401527.368691833
620,390031.847912734
621,381187.311741502
622,372497.836988104
623,365170.297035054
624,369625.136266225
625,358171.13414864
626,342697.771902727
627,337400.248444775
628,326735.696403787
629,313197.606126581
630,302864.341485724
631,302637.794145403
632,287050.992481338
633,277039.630504893
634,267672.637657136
635,260978.155006155
636,248190.969421056
637,230893.630409937
638,230420.597299117
639,221785.639601673
640,218660.257358912
641,204733.925434607
642,194163.089662801
643,179271.153193056
644,181672.031933218
645,175913.106378611
646,164563.56170862
647,155857.720217712
648,150800.874504997
649,149519.306960321
650,140465.206106334
