Wavelength,S1c/R1
460,10215.6710864892
461,9674.52834845402
462,9303.06329647401
463,9804.96775851153
464,10476.6473895836
465,11226.7381440848
466,10473.0672574571
467,10569.0285756625
468,10554.8457604692
469,10925.3751406229
470,11248.3935401787
471,11836.3161735132
472,13148.1243572011
473,12693.6369597152
474,11844.724111923
475,12197.1921243598
476,12458.1708614083
477,12766.7098507324
478,13091.8506963697
479,11789.4933587014
480,12168.831332207
481,12771.6978235188
482,14059.3206998498
483,13229.2478910385
484,14530.2572593534
485,13928.9272194195
486,13782.0063721202
487,14024.5010964273
488,14867.5063378326
489,14808.4679430428
490,15886.8408598457
491,17223.7839794615
492,17245.8313200435
493,16230.3008597321
494,17839.9238963901
495,18153.1538611976
496,19063.3628947587
497,18808.2746600863
498,20623.2781981119
499,20354.9943827674
500,19942.724599118
501,20832.0570806558
502,22857.8317135322
503,23647.7604747302
504,23965.5314342019
505,23690.2821959359
506,25373.4860858274
507,25507.7817784615
508,24795.7132217498
509,26897.9087056877
510,26827.0847599709
511,26148.5025175995
512,27165.8000101988
513,26837.6017819785
514,28316.9512284043
515,28230.79182678
516,27191.8509364364
517,26576.6239701873
518,26966.7467124809
519,27267.7777086551
520,27633.0629626669
521,26296.4391067082
522,27138.8894220213
523,24846.6744685603
524,25210.8481855045
525,25440.1363121916
526,25486.6563521797
527,25300.6053804093
528,25694.3430807825
529,25074.3322889818
530,23832.3374648762
531,23774.0440893162
532,23465.4883473427
533,23142.4450817432
534,23978.579002575
535,23175.4477470613
536,22629.1917673182
537,24447.8577192927
538,25304.0410146039
539,25416.1786110129
540,27263.1732541338
541,29403.7386712929
542,33313.3449661213
543,33882.0393408019
544,38236.6318259684
545,43393.7856510231
546,46965.112371732
547,56810.954146882
548,66017.8809644283
549,72078.6294323702
550,88099.5420955722
551,99452.1527838497
552,113201.899138827
553,135661.871247546
554,158781.889053799
555,179392.46023371
556,210144.119611759
557,239040.534507623
558,279523.357427546
559,315759.928893324
560,347007.167683406
561,400645.505212884
562,452099.591168532
563,502122.166585567
564,563864.66576456
565,612707.634089613
566,660688.318814168
567,716266.428959172
568,763996.288143165
569,811309.677109807
570,843600.250566807
571,887833.779402876
572,917220.52578059
573,930454.831120481
574,940587.099913023
575,955549.558036232
576,932108.97364878
577,940444.430283304
578,926151.128903457
579,911694.170453088
580,883795.137496517
581,867196.982443764
582,825531.117925567
583,808103.419080343
584,767143.607075207
585,747962.914716959
586,718877.52432368
587,683871.752480466
588,658143.943199857
589,635484.13356697
590,600025.525211575
591,575080.397799213
592,543250.239083372
593,527499.207520487
594,497852.236540905
595,465157.41428291
596,450421.818056536
597,431955.819467539
598,409624.29726809
599,394120.602469356
600,387370.039759405
601,368110.751643409
602,353736.305891969
603,335648.248909624
604,323508.351169277
605,324546.722517519
606,309769.03748725
607,303837.812617162
608,295053.092773913
609,289917.724441278
610,293341.469694178
611,278990.710659423
612,290926.1434022
613,279665.168031658
614,281436.120701064
615,280268.784033306
616,287461.656339641
617,283957.863765442
618,275502.958013914
619,272727.147221745
620,274127.532385885
621,269416.615128266
622,273684.567488974
623,267660.826942431
624,258451.546765431
625,262218.993298247
626,252432.529448919
627,246501.110868077
628,239667.164453254
629,240468.684614564
630,224389.384583125
631,233657.729943477
632,226451.041708657
633,210351.886716038
634,207600.882043821
635,196228.792605736
636,189634.933033639
637,182885.169306386
638,179055.037523615
639,164756.02910908
640,159499.106469234
641,153181.206766556
642,148729.116946781
643,148776.807026739
644,137889.119322206
645,140262.280477704
646,121974.103086006
647,121150.180320278
648,117801.901852764
649,113353.052193556
650,106278.377333913
