Wavelength,S1/R1c
400,73.0101255813631
401,72.8174047559016
402,71.7234239957569
403,71.4336201041251
404,71.3984621035065
405,71.4360753741214
406,72.5198761768619
407,72.7396566754961
408,74.2668989500346
409,75.1495610269614
410,77.5434660640215
411,79.9212904898903
412,82.2917910719953
413,85.2651482673565
414,88.4952483657202
415,93.654878439344
416,97.4088419749814
417,104.237424053327
418,109.643180679722
419,117.029103456413
420,121.861935466883
421,129.719602344991
422,140.020291112532
423,149.250921560506
424,161.779997868165
425,173.864968922001
426,186.591206560145
427,200.567807632807
428,214.773191227097
429,231.609212352428
430,246.929717370092
431,263.295376933715
432,281.074463606735
433,299.425029550039
434,318.690224669514
435,333.96041312085
436,354.207405915361
437,372.332978794983
438,392.071676065804
439,409.518547467159
440,430.409334730391
441,449.906000545661
442,475.206839938903
443,496.122357261625
444,518.339279484569
445,552.065984161426
446,589.710154272635
447,628.860960034106
448,666.851768428496
449,706.985800470127
450,740.28514121774
451,778.529663207863
452,823.18682731433
453,885.907455322516
454,950.482563286666
455,1018.78007395824
456,1089.96191340757
457,1155.12645210246
458,1212.2915098891
459,1281.15504030108
460,1355.6333424271
461,1418.8713898702
462,1478.01830736154
463,1530.45992308188
464,1594.82899771649
465,1653.94269858688
466,1699.8386441106
467,1721.35951750993
468,1733.64409050806
469,1757.38005516711
470,1795.93100999866
471,1839.99192658496
472,1873.84125509548
473,1896.21787125224
474,1925.02953219653
475,1973.49324638788
476,2054.51036784919
477,2168.55657728727
478,2259.80418674252
479,2343.93429066024
480,2421.52787743504
481,2488.03425935173
482,2559.56440812035
483,2650.69881176642
484,2757.35822500328
485,2893.74022531871
486,3028.05606763269
487,3184.75629933898
488,3339.49202858009
489,3474.27087667242
490,3603.23156946884
491,3688.58534286804
492,3762.01775985332
493,3819.70561708666
494,3884.11573888232
495,3983.87291527339
496,4078.81826547463
497,4149.55973657129
498,4202.08800443345
499,4230.97098606229
500,4224.20180206502
501,4199.96381945534
502,4153.32175980356
503,4084.14715622033
504,4001.00879537534
505,3897.34221561585
506,3768.69220461184
507,3617.91597230335
508,3454.77411661962
509,3258.61938853261
510,3057.71291523587
511,2849.96689045447
512,2622.51769420257
513,2387.78477589884
514,2157.38829977238
515,1942.77541418371
516,1730.06062101068
517,1528.90666839729
518,1351.52881932072
519,1172.36061833974
520,1001.32124559144
521,856.657923628951
522,740.301106268169
523,625.510466672464
524,526.528404980037
525,438.250771174506
526,370.499057566038
527,312.565735487642
528,258.331142677535
529,213.68655091015
530,179.807717135784
531,149.791365022831
532,125.289992733471
533,102.770400305835
534,86.1183419859932
535,71.4925894135468
536,60.8268854552664
537,49.8895205043526
538,41.4323437811652
539,35.0453918772812
540,29.461264662529
541,24.9140623787452
542,21.2760200879609
543,18.9195616747402
544,16.5061870574052
545,13.6177838258091
546,11.9794897176953
547,10.9859429620191
548,9.41408099432611
549,8.80632826384313
550,8.00749846157446
551,7.03351666633179
552,6.57968443963757
553,6.30346562924131
554,5.70066716082432
555,5.63555980393416
556,5.0536056856556
557,4.57057503141963
558,4.78217734458141
559,4.67170287773937
560,4.07691046219841
561,4.00660935576095
562,4.47094350272036
563,4.36473695060124
564,4.24533373241576
565,3.94278685295621
566,3.82974846299713
567,3.92959783605226
568,3.48808659586452
569,3.99324150742637
570,4.12207173928956
571,3.70802536736544
572,3.82890507601871
573,3.77721118330943
574,3.996517713006
575,3.82540989392484
576,3.74099956450397
577,3.80027492753099
578,3.5940930315383
579,3.72295887373905
580,3.51361526609757
581,3.88602387594224
582,3.91503446837844
583,4.04079389560951
584,3.92323346539139
585,3.73785940347532
586,3.79261413854423
587,3.82197247831996
588,4.12521426650055
589,4.76596904295705
