Wavelength,S1/R1c
400,150.312674984207
401,152.51630783423
402,152.42180945362
403,155.704646610858
404,156.441228291121
405,157.642411189189
406,160.34714827119
407,161.900800487427
408,165.618019643317
409,167.742586920638
410,172.595583754637
411,177.578506852989
412,182.689611914121
413,186.432394525531
414,192.837027163096
415,199.457142464155
416,206.511790792128
417,215.182657456646
418,221.279779645583
419,229.418878831552
420,236.943751005927
421,244.410137435267
422,258.73827319595
423,270.289824251226
424,281.781798937163
425,294.745898495966
426,308.506673839116
427,322.689232475954
428,340.281429847687
429,352.580615547891
430,373.83576854347
431,392.173911463433
432,409.746935192062
433,431.497835509651
434,453.290431779921
435,473.07510193189
436,495.662626170282
437,516.797392276664
438,537.199323797225
439,557.393865577591
440,584.841588184842
441,606.770429532382
442,634.066167306711
443,658.820456278643
444,689.486856548976
445,724.979543688123
446,767.452335694169
447,811.923571168791
448,858.527237326474
449,905.050383833648
450,939.584003953718
451,983.761056714019
452,1035.06565230721
453,1110.67078814571
454,1186.36415444465
455,1265.63171554873
456,1342.9324933807
457,1414.42912090265
458,1492.72587152123
459,1571.28496794423
460,1652.55959042428
461,1725.65212767755
462,1798.14653359801
463,1865.48144076215
464,1943.38242851993
465,2016.35127535655
466,2073.43861565866
467,2101.41466480428
468,2126.40393662771
469,2154.55766764188
470,2208.89525922524
471,2266.2842735953
472,2324.23767605038
473,2356.29642778348
474,2403.51008132579
475,2470.37930197002
476,2573.6206012019
477,2710.47824616072
478,2808.8704311157
479,2917.78648521374
480,3009.5075133979
481,3089.12582531069
482,3178.20658635983
483,3283.65195623704
484,3410.802234801
485,3563.17515294707
486,3720.223649148
487,3900.96808066752
488,4066.63228792706
489,4226.99909415031
490,4365.24663840366
491,4462.19120226997
492,4538.1914169633
493,4621.97731041975
494,4723.4408985657
495,4826.51544400702
496,4952.5614976789
497,5051.06597830308
498,5105.6437962475
499,5141.18598037376
500,5161.91930063745
501,5157.13066131721
502,5119.80631303756
503,5085.96876420041
504,5027.94832356292
505,4938.62981202488
506,4844.186105098
507,4741.23208222397
508,4626.46007642021
509,4476.17333205818
510,4339.6022571348
511,4191.87809582258
512,4040.06856312969
513,3887.57503597089
514,3737.50685754193
515,3598.67971373438
516,3456.30000009311
517,3319.15372372693
518,3205.31699361295
519,3066.41869103058
520,2938.22581152379
521,2829.16622953794
522,2724.24301042041
523,2628.04149460634
524,2544.07871038396
525,2458.22135056826
526,2392.5841061653
527,2337.81053679924
528,2300.87577787565
529,2275.6521509433
530,2273.96105156856
531,2277.02263607921
532,2301.02688439459
533,2349.81767054727
534,2406.96240079009
535,2479.59507538796
536,2558.81725005578
537,2665.15034885165
538,2769.30798178466
539,2894.64579399935
540,3016.02883120719
541,3150.20668992685
542,3286.52031519618
543,3440.3962975616
544,3598.36740286421
545,3751.79969641574
546,3900.14075472971
547,4052.37684214863
548,4214.24123913098
549,4353.23761164948
550,4492.30563389362
551,4631.21521826867
552,4735.2092408799
553,4851.99419675473
554,4949.80864490965
555,5023.84587249578
556,5078.55028139474
557,5116.60473213343
558,5156.26409963806
559,5160.55826520487
560,5138.68390163075
561,5104.1605834106
562,5023.47685197241
563,4927.84438561799
564,4800.20869575094
565,4661.27992655048
566,4480.54858387725
567,4253.54578234496
568,4016.12724342397
569,3780.36139157821
570,3504.11479887614
571,3234.43024249929
572,2932.38374502652
573,2651.78625536571
574,2372.70459478719
575,2102.28944054761
576,1847.72926664454
577,1617.76413027298
578,1406.03872184095
579,1214.27258423172
580,1044.82367399367
