Wavelength,S1/R1c
400,45.1025844408802
401,46.9055636958876
402,47.0741103345516
403,47.5009379643557
404,48.321414831965
405,49.9394472542147
406,50.8939880755923
407,52.5927269932407
408,52.6589425561642
409,53.3819826334087
410,54.71284624189
411,56.384274244188
412,57.3515774554083
413,58.0531640404699
414,60.0138199726986
415,61.8364503487545
416,61.0528307453588
417,62.9803657504274
418,62.670826998777
419,63.7666528794689
420,64.9841928455989
421,63.3474308103618
422,65.959235918921
423,64.551679798851
424,65.5389697263033
425,65.2213767059336
426,64.5215318758821
427,63.9665049990296
428,64.2087808297941
429,63.6372788061325
430,63.5721051425172
431,63.4224078178869
432,62.5385444032435
433,63.7029364585129
434,63.2310957023139
435,63.315740488441
436,63.4886612668636
437,63.251382970717
438,63.4015794114341
439,63.9600255092448
440,65.3178471034597
441,64.7139272250314
442,65.8610964365361
443,66.0219850989346
444,65.6888155216618
445,67.3897013868324
446,68.3373647188
447,69.7225732305822
448,71.3642963275784
449,70.8787437654541
450,71.1369079961211
451,71.3156192847894
452,71.6854989814306
453,72.4513637723202
454,75.0916512498029
455,77.0977410062085
456,78.5311277636091
457,80.3803263404359
458,82.5652977221171
459,85.2796695991365
460,89.6102460245289
461,92.2196114604437
462,96.9349583768383
463,101.396058147398
464,108.433063032438
465,113.324474288971
466,122.610558997497
467,125.729111335038
468,129.842850056739
469,138.231507143954
470,145.876360577235
471,158.84681247594
472,167.060338502009
473,176.889812106953
474,187.469792666036
475,197.739168865471
476,211.58093758582
477,231.052529763827
478,243.900476072743
479,260.078012868416
480,270.74610734819
481,277.875752402296
482,281.581554294266
483,290.869730040244
484,298.101699820472
485,310.283022095457
486,321.640512636287
487,334.119261767158
488,352.002055357363
489,363.090769847439
490,380.532780440291
491,393.288770332586
492,406.211129080011
493,418.065382565966
494,433.739060959833
495,461.100498216021
496,489.699891212373
497,517.965036025475
498,552.715466559765
499,588.839570819243
500,631.939590823918
501,673.567153463488
502,713.926036458373
503,763.191593866098
504,813.308737000194
505,861.044267749739
506,921.365251256957
507,983.99449218623
508,1039.73291780443
509,1101.51479222017
510,1164.6434506954
511,1208.60347816212
512,1265.46985239827
513,1309.34706532067
514,1352.13769020003
515,1383.08395827811
516,1413.71708145871
517,1435.64913029546
518,1448.69039681796
519,1457.36145170857
520,1453.4966197322
521,1448.46493697526
522,1438.17870160829
523,1422.4537067568
524,1409.28214157512
525,1407.82071125128
526,1395.69156761308
527,1391.01610859265
528,1384.77863250154
529,1397.76641162602
530,1412.90795101827
531,1432.14105944086
532,1469.72062428901
533,1507.34624679069
534,1551.41833396144
535,1623.02675886736
536,1680.91173070388
537,1763.37633528498
538,1848.5746921087
539,1939.45897825036
540,2045.4899662752
541,2156.57331675363
542,2269.57630769948
543,2385.19757157837
544,2493.9293342462
545,2633.54940827939
546,2756.53861133783
547,2889.5640660962
548,3022.44827361858
549,3154.42903406561
550,3280.29033208536
551,3393.20860233331
552,3492.17246871491
553,3599.54444749817
554,3672.8138997176
555,3747.76072874888
556,3802.94230038165
557,3833.01599154832
558,3869.75118949395
559,3855.00223441022
560,3840.25770951347
561,3788.88578111171
562,3720.73516410867
563,3630.76913333771
564,3512.17254163883
565,3362.22609079301
566,3196.6498257669
567,3010.32733085956
568,2807.79203468828
569,2615.03042952955
570,2405.13667156482
571,2175.79838290932
572,1964.97881681115
573,1763.63556256897
574,1556.47761138072
575,1381.03258963666
576,1196.75454003321
577,1037.26841656967
578,898.413639914105
579,764.207175584371
580,660.375972127663
581,561.993580199552
582,477.765700065932
583,408.014299576538
584,345.280068846161
585,294.551248255779
586,249.305292959346
587,209.615896628012
588,181.12741697007
589,157.392742507709
